num;NAME;Gl;Gb;RAJD;DECJD;P0;DM;S1400;R_LUM14;
num;;(deg);(deg);(deg);(deg);(s);(cm^-3pc);(mJy);(mJykpc^2);
972;J1610-5303;330.212;-1.061;242.553417;-53.063611;0.786468;380.10;0.76;2.18e+01;
973;J1611-01;10.447;34.161;242.750000;-1.466667;1.296870;27.21;*;*;
974;J1611-4811;333.621;2.421;242.761250;-48.194167;1.296850;221.00;0.08;1.93e+00;
975;J1611-4949;332.590;1.140;242.944292;-49.832556;0.666438;556.80;0.58;3.03e+01;
976;B1607-52;330.923;-0.482;242.763333;-52.156556;0.182492;127.34;1.45;1.26e+01;
977;J1611-5847;326.465;-5.409;242.963804;-58.795092;0.354550;79.90;0.11;6.77e-01;
978;J1612+2008;35.518;43.743;243.097633;20.138425;0.426646;19.51;*;*;
979;J1612-2408;351.011;19.446;243.108583;-24.134444;0.923834;49.00;0.50;3.78e+00;
980;J1612-49;332.985;1.295;243.225000;-49.450000;0.192687;439.00;0.16;6.33e+00;
981;J1612-5136;331.400;-0.187;243.002500;-51.615000;0.483311;1173.00;0.20;8.95e+00;
982;J1612-55;328.992;-2.776;243.025000;-55.150000;0.846907;312.00;0.11;5.27e+00;
983;J1612-5805;327.008;-4.952;243.115900;-58.091444;0.615520;171.30;0.30;9.21e+00;
984;B1609-47;334.573;2.835;243.370792;-47.240806;0.382377;161.20;1.40;1.73e+01;
985;J1613-5211;331.197;-0.784;243.426917;-52.189167;0.457502;360.10;0.29;6.46e+00;
986;J1613-5234;330.962;-1.088;243.489542;-52.571389;0.655221;624.00;0.28;1.54e+01;
987;B1612+07;20.633;38.163;243.670444;7.625283;1.206801;21.39;0.60;1.59e+00;
988;J1614-2230;352.636;20.192;243.652114;-22.508686;0.003151;34.92;0.70;3.43e-01;
989;J1614-23;351.956;19.791;243.500000;-23.250000;0.033500;52.00;*;*;
990;J1614-3846;340.628;8.788;243.677167;-38.776389;0.464106;111.00;0.18;5.79e+00;
991;J1614-3937;340.004;8.206;243.630112;-39.624667;0.407292;152.44;0.70;7.94e+01;
992;B1610-50;332.206;0.172;243.547042;-50.800972;0.231694;582.40;4.10;1.09e+02;
993;J1614-5144;331.619;-0.576;243.690417;-51.746944;1.534008;748.00;0.16;6.01e+00;
994;J1614-5402;330.040;-2.247;243.709917;-54.046389;0.572592;300.00;0.25;8.50e+00;
995;B1612-29;347.387;15.056;243.970146;-29.671042;2.477568;44.79;*;*;
996;J1615-5444;329.578;-2.768;243.754962;-54.742333;0.360958;312.60;0.59;2.79e+01;
997;B1611-55;329.039;-3.464;243.918458;-55.616806;0.791526;124.48;0.80;8.14e+00;
998;J1616-5017;332.827;0.289;244.124542;-50.287472;0.491384;194.00;0.17;2.06e+00;
999;J1616-5109;332.226;-0.337;244.128750;-51.154722;1.219594;1160.00;1.20;5.61e+01;
1000;J1616-5208;331.524;-1.038;244.097500;-52.146667;1.025831;488.00;0.44;1.59e+01;
1001;J1617-4608;335.842;3.139;244.396271;-46.143472;0.567080;321.50;0.15;1.84e+01;
1002;J1617-5055;332.499;-0.275;244.372083;-50.920333;0.069357;467.00;0.27;6.07e+00;
1003;J1618-36;343.113;10.181;244.633750;-36.061667;0.005779;104.00;*;*;
1004;J1618-3921;340.725;7.888;244.578437;-39.350504;0.011987;117.97;*;*;
1005;J1618-4723;335.037;2.184;244.528333;-47.388639;0.203553;134.70;1.00;9.55e+00;
1006;J1619-42;338.927;5.880;244.775000;-42.033333;1.023152;172.00;0.60;3.99e+01;
1007;J1620-4927;333.888;0.408;245.173000;-49.460306;0.171935;*;*;*;
1008;J1620-5414;330.467;-2.943;245.060167;-54.247694;1.156360;71.00;0.13;5.10e-01;
1009;J1621-5039;333.084;-0.490;245.269625;-50.663500;1.084020;261.00;0.36;5.53e+00;
1010;J1621-5243;331.718;-2.045;245.482500;-52.728889;0.371924;363.00;0.27;1.12e+01;
1011;J1622-0315;10.708;30.676;245.748452;-3.260369;0.003845;21.40;*;*;
1012;J1622-3751;342.322;8.419;245.519083;-37.853861;0.731463;153.80;0.20;2.69e+01;
1013;J1622-4332;338.332;4.339;245.689450;-43.541167;0.916938;230.68;0.53;5.05e+01;
1014;J1622-4347;338.122;4.198;245.625250;-43.789278;0.457681;177.00;0.18;4.57e+00;
1015;J1622-4802;335.139;1.170;245.696625;-48.036972;0.265072;364.30;0.92;2.60e+01;
1016;J1622-4845;334.534;0.732;245.522708;-48.774722;0.735092;292.00;0.15;2.70e+00;
1017;J1622-4944;333.911;-0.013;245.656250;-49.741667;1.072968;755.00;0.52;1.52e+01;
1018;J1622-6617;321.978;-11.560;245.515284;-66.288049;0.023623;88.02;0.60;9.84e+00;
1019;J1623-0841;5.774;27.367;245.927845;-8.693500;0.503015;59.79;*;*;
1020;B1620-09;5.297;27.178;245.823583;-9.146870;1.276446;68.18;0.60;1.67e+00;
1021;B1620-26;350.976;15.960;245.909257;-26.531602;0.011076;62.86;1.60;5.18e+00;
1022;B1620-42;338.890;4.620;245.951417;-42.947778;0.364590;295.00;2.70;1.26e+03;
1023;J1623-4949;334.003;-0.214;245.978333;-49.817778;0.725732;183.30;0.36;4.06e+00;
1024;J1623-5005;333.716;-0.307;245.767125;-50.087528;0.085072;*;*;*;
1025;J1623+58;89.182;41.824;245.950000;58.816667;0.651800;26.40;*;*;
1026;J1624-4041;340.558;6.149;246.041363;-40.691583;0.167861;*;*;*;
1027;J1624-4411;338.069;3.677;246.089004;-44.192722;0.233164;139.40;0.48;5.35e+00;
1028;J1624-4613;336.616;2.265;246.077917;-46.217222;0.871243;224.20;0.39;8.91e+00;
1029;J1624-4721;335.874;1.393;246.228708;-47.357500;0.448723;364.00;0.15;4.75e+00;
